0,1,2,3,4
0,0,0,0,0
5,0,0,0,0
10,0,0,0,0
15,0,0,0,0
20,0,0,0,0
25,0,0,0,0
30,0,0,0,0
35,0,0,0,0
40,0,0,0,0
45,0,0,0,0
50,0,0,0,0
55,0,0,0,0
60,0,0,0,0
65,0,0,0,0
70,0,0,0,0
75,0,0,0,0
80,0,0,0,0
85,0,0,0,0
90,0,0,0,0
95,0,0,0,0
100,0,0,0,0
0,5,0,0,0
0,10,0,0,0
0,15,0,0,0
0,20,0,0,0
0,25,0,0,0
0,30,0,0,0
0,35,0,0,0
0,40,0,0,0
0,45,0,0,0
0,50,0,0,0
0,55,0,0,0
0,60,0,0,0
0,65,0,0,0
0,70,0,0,0
0,75,0,0,0
0,80,0,0,0
0,85,0,0,0
0,90,0,0,0
0,95,0,0,0
0,100,0,0,0
0,0,5,0,0
0,0,10,0,0
0,0,15,0,0
0,0,20,0,0
0,0,25,0,0
0,0,30,0,0
0,0,35,0,0
0,0,40,0,0
0,0,45,0,0
0,0,50,0,0
0,0,55,0,0
0,0,60,0,0
0,0,65,0,0
0,0,70,0,0
0,0,75,0,0
0,0,80,0,0
0,0,85,0,0
0,0,90,0,0
0,0,95,0,0
0,0,100,0,0
0,0,0,5,0
0,0,0,10,0
0,0,0,15,0
0,0,0,20,0
0,0,0,25,0
0,0,0,30,0
0,0,0,35,0
0,0,0,40,0
0,0,0,45,0
0,0,0,50,0
0,0,0,55,0
0,0,0,60,0
0,0,0,65,0
0,0,0,70,0
0,0,0,75,0
0,0,0,80,0
0,0,0,85,0
0,0,0,90,0
0,0,0,95,0
0,0,0,100,0
0,0,0,0,5
0,0,0,0,10
0,0,0,0,15
0,0,0,0,20
0,0,0,0,25
0,0,0,0,30
0,0,0,0,35
0,0,0,0,40
0,0,0,0,45
0,0,0,0,50
0,0,0,0,55
0,0,0,0,60
0,0,0,0,65
0,0,0,0,70
0,0,0,0,75
0,0,0,0,80
0,0,0,0,85
0,0,0,0,90
0,0,0,0,95
0,0,0,0,100
0,25,25,25,25
5,25,25,25,25
10,25,25,25,25
15,25,25,25,25
20,25,25,25,25
25,25,25,25,25
30,25,25,25,25
35,25,25,25,25
40,25,25,25,25
45,25,25,25,25
50,25,25,25,25
55,25,25,25,25
60,25,25,25,25
65,25,25,25,25
70,25,25,25,25
75,25,25,25,25
80,25,25,25,25
85,25,25,25,25
90,25,25,25,25
95,25,25,25,25
100,25,25,25,25
25,0,25,25,25
25,5,25,25,25
25,10,25,25,25
25,15,25,25,25
25,20,25,25,25
25,30,25,25,25
25,35,25,25,25
25,40,25,25,25
25,45,25,25,25
25,50,25,25,25
25,55,25,25,25
25,60,25,25,25
25,65,25,25,25
25,70,25,25,25
25,75,25,25,25
25,80,25,25,25
25,85,25,25,25
25,90,25,25,25
25,95,25,25,25
25,100,25,25,25
25,25,0,25,25
25,25,5,25,25
25,25,10,25,25
25,25,15,25,25
25,25,20,25,25
25,25,30,25,25
25,25,35,25,25
25,25,40,25,25
25,25,45,25,25
25,25,50,25,25
25,25,55,25,25
25,25,60,25,25
25,25,65,25,25
25,25,70,25,25
25,25,75,25,25
25,25,80,25,25
25,25,85,25,25
25,25,90,25,25
25,25,95,25,25
25,25,100,25,25
25,25,25,0,25
25,25,25,5,25
25,25,25,10,25
25,25,25,15,25
25,25,25,20,25
25,25,25,30,25
25,25,25,35,25
25,25,25,40,25
25,25,25,45,25
25,25,25,50,25
25,25,25,55,25
25,25,25,60,25
25,25,25,65,25
25,25,25,70,25
25,25,25,75,25
25,25,25,80,25
25,25,25,85,25
25,25,25,90,25
25,25,25,95,25
25,25,25,100,25
25,25,25,25,0
25,25,25,25,5
25,25,25,25,10
25,25,25,25,15
25,25,25,25,20
25,25,25,25,30
25,25,25,25,35
25,25,25,25,40
25,25,25,25,45
25,25,25,25,50
25,25,25,25,55
25,25,25,25,60
25,25,25,25,65
25,25,25,25,70
25,25,25,25,75
25,25,25,25,80
25,25,25,25,85
25,25,25,25,90
25,25,25,25,95
25,25,25,25,100
0,50,50,50,50
5,50,50,50,50
10,50,50,50,50
15,50,50,50,50
20,50,50,50,50
25,50,50,50,50
30,50,50,50,50
35,50,50,50,50
40,50,50,50,50
45,50,50,50,50
50,50,50,50,50
55,50,50,50,50
60,50,50,50,50
65,50,50,50,50
70,50,50,50,50
75,50,50,50,50
80,50,50,50,50
85,50,50,50,50
90,50,50,50,50
95,50,50,50,50
100,50,50,50,50
50,0,50,50,50
50,5,50,50,50
50,10,50,50,50
50,15,50,50,50
50,20,50,50,50
50,25,50,50,50
50,30,50,50,50
50,35,50,50,50
50,40,50,50,50
50,45,50,50,50
50,55,50,50,50
50,60,50,50,50
50,65,50,50,50
50,70,50,50,50
50,75,50,50,50
50,80,50,50,50
50,85,50,50,50
50,90,50,50,50
50,95,50,50,50
50,100,50,50,50
50,50,0,50,50
50,50,5,50,50
50,50,10,50,50
50,50,15,50,50
50,50,20,50,50
50,50,25,50,50
50,50,30,50,50
50,50,35,50,50
50,50,40,50,50
50,50,45,50,50
50,50,55,50,50
50,50,60,50,50
50,50,65,50,50
50,50,70,50,50
50,50,75,50,50
50,50,80,50,50
50,50,85,50,50
50,50,90,50,50
50,50,95,50,50
50,50,100,50,50
50,50,50,0,50
50,50,50,5,50
50,50,50,10,50
50,50,50,15,50
50,50,50,20,50
50,50,50,25,50
50,50,50,30,50
50,50,50,35,50
50,50,50,40,50
50,50,50,45,50
50,50,50,55,50
50,50,50,60,50
50,50,50,65,50
50,50,50,70,50
50,50,50,75,50
50,50,50,80,50
50,50,50,85,50
50,50,50,90,50
50,50,50,95,50
50,50,50,100,50
50,50,50,50,0
50,50,50,50,5
50,50,50,50,10
50,50,50,50,15
50,50,50,50,20
50,50,50,50,25
50,50,50,50,30
50,50,50,50,35
50,50,50,50,40
50,50,50,50,45
50,50,50,50,55
50,50,50,50,60
50,50,50,50,65
50,50,50,50,70
50,50,50,50,75
50,50,50,50,80
50,50,50,50,85
50,50,50,50,90
50,50,50,50,95
50,50,50,50,100
0,75,75,75,75
5,75,75,75,75
10,75,75,75,75
15,75,75,75,75
20,75,75,75,75
25,75,75,75,75
30,75,75,75,75
35,75,75,75,75
40,75,75,75,75
45,75,75,75,75
50,75,75,75,75
55,75,75,75,75
60,75,75,75,75
65,75,75,75,75
70,75,75,75,75
75,75,75,75,75
80,75,75,75,75
85,75,75,75,75
90,75,75,75,75
95,75,75,75,75
100,75,75,75,75
75,0,75,75,75
75,5,75,75,75
75,10,75,75,75
75,15,75,75,75
75,20,75,75,75
75,25,75,75,75
75,30,75,75,75
75,35,75,75,75
75,40,75,75,75
75,45,75,75,75
75,50,75,75,75
75,55,75,75,75
75,60,75,75,75
75,65,75,75,75
75,70,75,75,75
75,80,75,75,75
75,85,75,75,75
75,90,75,75,75
75,95,75,75,75
75,100,75,75,75
75,75,0,75,75
75,75,5,75,75
75,75,10,75,75
75,75,15,75,75
75,75,20,75,75
75,75,25,75,75
75,75,30,75,75
75,75,35,75,75
75,75,40,75,75
75,75,45,75,75
75,75,50,75,75
75,75,55,75,75
75,75,60,75,75
75,75,65,75,75
75,75,70,75,75
75,75,80,75,75
75,75,85,75,75
75,75,90,75,75
75,75,95,75,75
75,75,100,75,75
75,75,75,0,75
75,75,75,5,75
75,75,75,10,75
75,75,75,15,75
75,75,75,20,75
75,75,75,25,75
75,75,75,30,75
75,75,75,35,75
75,75,75,40,75
75,75,75,45,75
75,75,75,50,75
75,75,75,55,75
75,75,75,60,75
75,75,75,65,75
75,75,75,70,75
75,75,75,80,75
75,75,75,85,75
75,75,75,90,75
75,75,75,95,75
75,75,75,100,75
75,75,75,75,0
75,75,75,75,5
75,75,75,75,10
75,75,75,75,15
75,75,75,75,20
75,75,75,75,25
75,75,75,75,30
75,75,75,75,35
75,75,75,75,40
75,75,75,75,45
75,75,75,75,50
75,75,75,75,55
75,75,75,75,60
75,75,75,75,65
75,75,75,75,70
75,75,75,75,80
75,75,75,75,85
75,75,75,75,90
75,75,75,75,95
75,75,75,75,100
0,100,100,100,100
5,100,100,100,100
10,100,100,100,100
15,100,100,100,100
20,100,100,100,100
25,100,100,100,100
30,100,100,100,100
35,100,100,100,100
40,100,100,100,100
45,100,100,100,100
50,100,100,100,100
55,100,100,100,100
60,100,100,100,100
65,100,100,100,100
70,100,100,100,100
75,100,100,100,100
80,100,100,100,100
85,100,100,100,100
90,100,100,100,100
95,100,100,100,100
100,100,100,100,100
100,0,100,100,100
100,5,100,100,100
100,10,100,100,100
100,15,100,100,100
100,20,100,100,100
100,25,100,100,100
100,30,100,100,100
100,35,100,100,100
100,40,100,100,100
100,45,100,100,100
100,50,100,100,100
100,55,100,100,100
100,60,100,100,100
100,65,100,100,100
100,70,100,100,100
100,75,100,100,100
100,80,100,100,100
100,85,100,100,100
100,90,100,100,100
100,95,100,100,100
100,100,0,100,100
100,100,5,100,100
100,100,10,100,100
