0,1,2,3,4
0,50,50,50,50
5,50,50,50,50
10,50,50,50,50
15,50,50,50,50
20,50,50,50,50
25,50,50,50,50
30,50,50,50,50
35,50,50,50,50
40,50,50,50,50
45,50,50,50,50
50,50,50,50,50
55,50,50,50,50
60,50,50,50,50
65,50,50,50,50
70,50,50,50,50
75,50,50,50,50
80,50,50,50,50
85,50,50,50,50
90,50,50,50,50
95,50,50,50,50
100,50,50,50,50
50,0,50,50,50
50,5,50,50,50
50,10,50,50,50
50,15,50,50,50
50,20,50,50,50
50,25,50,50,50
50,30,50,50,50
50,35,50,50,50
50,40,50,50,50
50,45,50,50,50
50,55,50,50,50
50,60,50,50,50
50,65,50,50,50
50,70,50,50,50
50,75,50,50,50
50,80,50,50,50
50,85,50,50,50
50,90,50,50,50
50,95,50,50,50
50,100,50,50,50
50,50,0,50,50
50,50,5,50,50
50,50,10,50,50
50,50,15,50,50
50,50,20,50,50
50,50,25,50,50
50,50,30,50,50
50,50,35,50,50
50,50,40,50,50
50,50,45,50,50
50,50,55,50,50
50,50,60,50,50
50,50,65,50,50
50,50,70,50,50
50,50,75,50,50
50,50,80,50,50
50,50,85,50,50
50,50,90,50,50
50,50,95,50,50
50,50,100,50,50
50,50,50,0,50
50,50,50,5,50
50,50,50,10,50
50,50,50,15,50
50,50,50,20,50
50,50,50,25,50
50,50,50,30,50
50,50,50,35,50
50,50,50,40,50
50,50,50,45,50
50,50,50,55,50
50,50,50,60,50
50,50,50,65,50
50,50,50,70,50
50,50,50,75,50
50,50,50,80,50
50,50,50,85,50
50,50,50,90,50
50,50,50,95,50
50,50,50,100,50
50,50,50,50,0
50,50,50,50,5
50,50,50,50,10
50,50,50,50,15
50,50,50,50,20
50,50,50,50,25
50,50,50,50,30
50,50,50,50,35
50,50,50,50,40
50,50,50,50,45
50,50,50,50,55
50,50,50,50,60
50,50,50,50,65
50,50,50,50,70
50,50,50,50,75
50,50,50,50,80
50,50,50,50,85
50,50,50,50,90
50,50,50,50,95
50,50,50,50,100
