0,1,2,3,4
0,25,25,25,25
5,25,25,25,25
10,25,25,25,25
15,25,25,25,25
20,25,25,25,25
25,25,25,25,25
30,25,25,25,25
35,25,25,25,25
40,25,25,25,25
45,25,25,25,25
50,25,25,25,25
55,25,25,25,25
60,25,25,25,25
65,25,25,25,25
70,25,25,25,25
75,25,25,25,25
80,25,25,25,25
85,25,25,25,25
90,25,25,25,25
95,25,25,25,25
100,25,25,25,25
25,0,25,25,25
25,5,25,25,25
25,10,25,25,25
25,15,25,25,25
25,20,25,25,25
25,30,25,25,25
25,35,25,25,25
25,40,25,25,25
25,45,25,25,25
25,50,25,25,25
25,55,25,25,25
25,60,25,25,25
25,65,25,25,25
25,70,25,25,25
25,75,25,25,25
25,80,25,25,25
25,85,25,25,25
25,90,25,25,25
25,95,25,25,25
25,100,25,25,25
25,25,0,25,25
25,25,5,25,25
25,25,10,25,25
25,25,15,25,25
25,25,20,25,25
25,25,30,25,25
25,25,35,25,25
25,25,40,25,25
25,25,45,25,25
25,25,50,25,25
25,25,55,25,25
25,25,60,25,25
25,25,65,25,25
25,25,70,25,25
25,25,75,25,25
25,25,80,25,25
25,25,85,25,25
25,25,90,25,25
25,25,95,25,25
25,25,100,25,25
25,25,25,0,25
25,25,25,5,25
25,25,25,10,25
25,25,25,15,25
25,25,25,20,25
25,25,25,30,25
25,25,25,35,25
25,25,25,40,25
25,25,25,45,25
25,25,25,50,25
25,25,25,55,25
25,25,25,60,25
25,25,25,65,25
25,25,25,70,25
25,25,25,75,25
25,25,25,80,25
25,25,25,85,25
25,25,25,90,25
25,25,25,95,25
25,25,25,100,25
25,25,25,25,0
25,25,25,25,5
25,25,25,25,10
25,25,25,25,15
25,25,25,25,20
25,25,25,25,30
25,25,25,25,35
25,25,25,25,40
25,25,25,25,45
25,25,25,25,50
25,25,25,25,55
25,25,25,25,60
25,25,25,25,65
25,25,25,25,70
25,25,25,25,75
25,25,25,25,80
25,25,25,25,85
25,25,25,25,90
25,25,25,25,95
25,25,25,25,100
