0,1,2,3,4
0,75,75,75,75
5,75,75,75,75
10,75,75,75,75
15,75,75,75,75
20,75,75,75,75
25,75,75,75,75
30,75,75,75,75
35,75,75,75,75
40,75,75,75,75
45,75,75,75,75
50,75,75,75,75
55,75,75,75,75
60,75,75,75,75
65,75,75,75,75
70,75,75,75,75
75,75,75,75,75
80,75,75,75,75
85,75,75,75,75
90,75,75,75,75
95,75,75,75,75
100,75,75,75,75
75,0,75,75,75
75,5,75,75,75
75,10,75,75,75
75,15,75,75,75
75,20,75,75,75
75,25,75,75,75
75,30,75,75,75
75,35,75,75,75
75,40,75,75,75
75,45,75,75,75
75,50,75,75,75
75,55,75,75,75
75,60,75,75,75
75,65,75,75,75
75,70,75,75,75
75,80,75,75,75
75,85,75,75,75
75,90,75,75,75
75,95,75,75,75
75,100,75,75,75
75,75,0,75,75
75,75,5,75,75
75,75,10,75,75
75,75,15,75,75
75,75,20,75,75
75,75,25,75,75
75,75,30,75,75
75,75,35,75,75
75,75,40,75,75
75,75,45,75,75
75,75,50,75,75
75,75,55,75,75
75,75,60,75,75
75,75,65,75,75
75,75,70,75,75
75,75,80,75,75
75,75,85,75,75
75,75,90,75,75
75,75,95,75,75
75,75,100,75,75
75,75,75,0,75
75,75,75,5,75
75,75,75,10,75
75,75,75,15,75
75,75,75,20,75
75,75,75,25,75
75,75,75,30,75
75,75,75,35,75
75,75,75,40,75
75,75,75,45,75
75,75,75,50,75
75,75,75,55,75
75,75,75,60,75
75,75,75,65,75
75,75,75,70,75
75,75,75,80,75
75,75,75,85,75
75,75,75,90,75
75,75,75,95,75
75,75,75,100,75
75,75,75,75,0
75,75,75,75,5
75,75,75,75,10
75,75,75,75,15
75,75,75,75,20
75,75,75,75,25
75,75,75,75,30
75,75,75,75,35
75,75,75,75,40
75,75,75,75,45
75,75,75,75,50
75,75,75,75,55
75,75,75,75,60
75,75,75,75,65
75,75,75,75,70
75,75,75,75,80
75,75,75,75,85
75,75,75,75,90
75,75,75,75,95
75,75,75,75,100
