std_rating,identical_reasoning
0.0,1
0.1959995958775384,2
0.6261622856103618,1
0.0,1
0.6953879179534566,1
0.8623017780543208,1
0.0,1
0.459228798213822,1
0.0,1
1.2051868102185455,2
0.0,1
0.0,2
0.6440896561415304,1
0.4449941594899849,1
1.09634857505257,1
0.9724929687444667,1
0.0,1
0.28632184342065464,1
0.0,1
0.4337266557190002,1
1.3470907413186881,1
0.0,1
0.0,1
0.17061333737750145,1
0.3412266747550029,1
0.44986246523105516,1
0.0,5
0.0,1
0.4546786483521376,1
0.3656000086660742,1
0.0,1
0.0,1
1.1634703977053444,1
0.3472665538256461,1
0.0,20
0.347266553825646,1
0.4214543419828982,1
0.0,3
0.0,1
0.32518083316429564,1
0.0,1
0.5024691508189852,1
0.0,1
0.28632184342065464,1
0.974628642149927,1
0.0,1
0.5879987876326161,1
0.0,5
0.31371299237385475,1
0.36695158447203197,1
